#row 	col 	t0 	t 	deltaT 	thl 	par0 	par1 	par2 	par3
160	208	608.395	653.105	44.7109	16	35.7876	17.6334	0.324344	603.487
160	224	609.902	654.637	44.7344	16	289.69	8.8031	1.05397	609.787
160	240	609.902	659.402	49.5	14	71.4372	10.8011	0.655437	608.736
176	0	610.113	660.918	50.8047	16	163.262	5.75407	0.903962	609.851
176	16	610.254	654.629	44.375	18	29.4959	19.661	0.417329	608.215
176	32	609.949	657.785	47.8359	18	99.3259	10.9453	0.756142	609.147
176	48	610.738	657.754	47.0156	18	1690.43	-3.45065	1.48206	610.895
176	64	610.215	657.762	47.5469	18	30.4694	19.7582	0.358689	606.984
176	80	608.457	657.77	49.3125	16	47.7506	12.5878	0.450578	605.594
176	96	609.473	660.949	51.4766	18	78.0249	13.1255	0.668485	608.327
176	112	608.348	637.668	29.3203	14	61.1821	13.9346	0.532216	605.89
176	128	608.746	660.934	52.1875	14	53.9999	10.1229	0.515521	606.77
176	144	610.223	657.754	47.5312	20	108.319	12.4047	0.75728	609.424
176	160	608.871	654.629	45.7578	12	199.784	8.94485	0.954644	609.007
176	176	609.863	664.059	54.1953	18	96.7721	11.2168	0.717633	608.82
176	192	608.402	654.668	46.2656	14	43.0945	11.7175	0.410922	604.94
176	208	609.824	657.809	47.9844	14	36.2304	15.5925	0.388642	606.334
176	224	611.254	651.137	39.8828	16	4000	-4.56336	1.64675	611.054
176	240	609.637	641.434	31.7969	12	77.8247	11.6769	0.684413	608.557
192	0	611.496	642.574	31.0781	16	72.73	16.0187	0.699869	610.176
192	16	611.371	650.426	39.0547	14	35.4055	15.2583	0.486495	609.173
192	32	611.121	660.926	49.8047	18	1050.76	-0.747208	1.35361	610.884
192	48	611.48	660.895	49.4141	18	817.542	-0.275348	1.29671	610.982
192	64	609.965	664.043	54.0781	16	127.234	7.89629	0.815751	609.299
192	80	609.254	657.785	48.5312	18	70.1196	12.3578	0.618259	607.768
192	96	608.371	654.754	46.3828	14	32.9881	15.8102	0.279375	602.24
192	112	608.348	654.629	46.2812	14	28.9974	15.8769	0.278972	602.572
192	128	609.426	654.629	45.2031	12	158.387	10.589	0.967388	609.484
192	144	608.551	664.066	55.5156	14	50.4744	10.6884	0.487789	606.264
192	160	609.582	653.777	44.1953	16	36.8721	17.5003	0.376744	605.761
192	176	608.363	639.129	30.7656	12	35.4946	13.0051	0.326832	603.372
192	192	608.348	654.66	46.3125	10	119.38	9.14972	0.801503	607.63
192	208	609.926	657.793	47.8672	16	32.5028	17.7105	0.368386	606.399
192	224	611.496	664.012	52.5156	16	174.895	7.26999	0.854474	610.27
192	240	610.152	660.98	50.8281	18	221.689	6.67257	0.964424	609.975
208	0	610.77	654.629	43.8594	14	239.121	11.8179	1.13972	610.954
208	16	611.496	657.785	46.2891	16	342.141	12.189	1.19127	611.193
208	32	610.066	660.957	50.8906	18	43.2624	15.6833	0.498348	608.144
208	48	611.309	654.676	43.3672	22	4000	-9.81855	1.6294	611.092
208	64	609.816	660.941	51.125	14	73.8455	9.62477	0.679471	608.666
208	80	608.66	643.887	35.2266	12	33.4133	13.2969	0.372079	605.666
208	96	608.949	654.629	45.6797	12	160.359	10.2305	0.942054	609.212
208	112	608.348	660.934	52.5859	14	62.1289	9.46145	0.551434	605.999
208	128	609.434	654.629	45.1953	16	30.7776	17.7305	0.351	605.805
208	144	608.77	662.48	53.7109	14	59.7911	10.5747	0.573041	607.336
208	160	608.348	646.91	38.5625	12	37.7646	13.3602	0.327393	603.029
208	176	608.348	657.863	49.5156	14	33.0935	15.82	0.298499	602.609
208	192	609.754	659.379	49.625	14	31.0971	15.838	0.308106	604.851
208	208	609.582	657.84	48.2578	14	98.4644	7.92187	0.718355	608.481
208	224	609.996	653.223	43.2266	14	33.2099	15.6129	0.360711	606.33
208	240	610.332	653.129	42.7969	14	230.204	11.1358	1.06017	610.494
224	0	611.496	657.809	46.3125	18	247.458	4.57449	0.978144	610.615
224	16	611.496	667.16	55.6641	18	131.527	10.7029	0.822773	610.343
224	32	611.496	657.824	46.3281	14	175.261	11.665	0.907762	610.669
224	48	611.449	660.926	49.4766	14	195.196	6.78937	0.964614	610.673
224	64	611.496	657.801	46.3047	18	372.573	10.5748	1.1335	611.024
224	80	611.473	652.699	41.2266	16	42.6634	17.0371	0.491843	608.851
224	96	609.371	654.715	45.3438	14	78.9854	10.0849	0.687248	608.404
224	112	608.52	657.809	49.2891	18	41.7186	13.8757	0.417297	605.51
224	128	608.395	659.418	51.0234	16	48.2338	13.6987	0.462141	605.812
224	144	609.926	654.723	44.7969	14	117.033	7.29203	0.794485	609.192
224	160	608.402	654.379	45.9766	14	121.225	11.5683	0.78395	607.805
224	176	610.066	657.793	47.7266	18	151.677	8.74724	0.852095	609.608
224	192	609.191	646.918	37.7266	14	35.0272	15.3129	0.391273	606.164
